id;"str_service_name";str_service_desc;"int_service_category_id";"int_service_type";"int_service_param";"int_service_price_type";"int_service_sort_order";"bool_enabled"
1;lak ofsetový;;1;1;0;0;1;1
2;lak UV;;1;1;0;3;2;1
3;lak UV parciální;;1;1;2;15;3;1
4;lamino - lesk;;2;1;0;3;11;1
5;falcování;;3;1;1;0;21;1
6;lamino - mat;;2;1;0;3;12;1
7;bez laku;;1;1;0;0;0;1
8;bez lamina;;2;1;0;0;10;1
9;bez falcovani;;3;1;0;0;20;1
10;bez výseku;;4;2;0;0;100;0
11;výsek;;4;2;0;0;101;1
12;bez snášení;;5;2;0;0;110;0
13;snášení;;5;2;0;0;111;1
14;bez ražby - slepotisk;;6;2;0;0;120;0
15;ražba - slepotisk;;6;2;0;0;121;1
16;bez ražby - s fólií;;7;2;0;0;130;0
17;ražba - s fólií;;7;2;0;0;131;1
18;bez rýlu;;8;2;0;0;140;0
19;rýl;;8;2;0;0;141;1
20;bez číslování;;9;2;0;0;150;0
21;číslování;;9;2;0;0;151;1
22;bez vazby V1;;10;2;0;0;160;0
23;vazba V1;;10;2;0;0;161;1
24;bez vazby V2;;11;2;0;0;170;0
25;vazba V2;;11;2;0;0;171;1
26;bez oček;;12;2;0;0;180;0
27;očka;;12;2;0;0;181;1
28;bez vrtání;;13;2;0;0;190;0
29;vrtání;;13;2;0;0;191;1
30;bez lepení;;14;2;0;0;200;0
31;lepení;;14;2;0;1;201;1
32;bez kartonu;;15;2;0;0;210;0
33;karton;;15;2;0;1;211;1
34;bez víceprací;;100;2;0;0;220;0
35;vícepráce;;100;2;0;0;221;1
36;bez výsekového nástroje;;200;4;0;0;230;0
37;výsekový nástroj;;200;4;0;0;231;1